127.0.0.1 - - [11/Dec/2015:17:49:20 +0800] "GET /debug/default/toolbar?tag=566a9c1fe3c98 HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:49:22 +0800] "POST /gii/crud HTTP/1.1" 200 13301
127.0.0.1 - - [11/Dec/2015:17:49:22 +0800] "GET /debug/default/toolbar?tag=566a9c2212d53 HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:49:47 +0800] "POST /gii/crud HTTP/1.1" 200 20333
127.0.0.1 - - [11/Dec/2015:17:49:47 +0800] "GET /debug/default/toolbar?tag=566a9c3b15229 HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:49:49 +0800] "POST /gii/crud HTTP/1.1" 200 13277
127.0.0.1 - - [11/Dec/2015:17:49:49 +0800] "GET /debug/default/toolbar?tag=566a9c3da7e66 HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:50:12 +0800] "POST /gii/crud HTTP/1.1" 200 20293
127.0.0.1 - - [11/Dec/2015:17:50:12 +0800] "GET /debug/default/toolbar?tag=566a9c54956bd HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:50:15 +0800] "POST /gii/crud HTTP/1.1" 200 13253
127.0.0.1 - - [11/Dec/2015:17:50:15 +0800] "GET /debug/default/toolbar?tag=566a9c5719ad4 HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:50:41 +0800] "POST /gii/crud HTTP/1.1" 200 20313
127.0.0.1 - - [11/Dec/2015:17:50:41 +0800] "GET /debug/default/toolbar?tag=566a9c7156971 HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:50:44 +0800] "POST /gii/crud HTTP/1.1" 200 13265
127.0.0.1 - - [11/Dec/2015:17:50:44 +0800] "GET /debug/default/toolbar?tag=566a9c740ca73 HTTP/1.1" 200 19640
127.0.0.1 - - [11/Dec/2015:17:51:08 +0800] "POST /gii/crud HTTP/1.1" 200 20373
127.0.0.1 - - [11/Dec/2015:17:51:08 +0800] "GET /debug/default/toolbar?tag=566a9c8ca3634 HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:51:10 +0800] "POST /gii/crud HTTP/1.1" 200 13301
127.0.0.1 - - [11/Dec/2015:17:51:10 +0800] "GET /debug/default/toolbar?tag=566a9c8ec0f55 HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:51:30 +0800] "POST /gii/crud HTTP/1.1" 200 20193
127.0.0.1 - - [11/Dec/2015:17:51:30 +0800] "GET /debug/default/toolbar?tag=566a9ca24d43a HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:51:33 +0800] "POST /gii/crud HTTP/1.1" 200 13193
127.0.0.1 - - [11/Dec/2015:17:51:33 +0800] "GET /debug/default/toolbar?tag=566a9ca570f3e HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:51:59 +0800] "POST /gii/crud HTTP/1.1" 200 20193
127.0.0.1 - - [11/Dec/2015:17:51:59 +0800] "GET /debug/default/toolbar?tag=566a9cbf56f27 HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:52:02 +0800] "POST /gii/crud HTTP/1.1" 200 13193
127.0.0.1 - - [11/Dec/2015:17:52:02 +0800] "GET /debug/default/toolbar?tag=566a9cc2938a0 HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:52:26 +0800] "POST /gii/crud HTTP/1.1" 200 20453
127.0.0.1 - - [11/Dec/2015:17:52:27 +0800] "GET /debug/default/toolbar?tag=566a9cdb0414d HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:52:29 +0800] "POST /gii/crud HTTP/1.1" 200 13349
127.0.0.1 - - [11/Dec/2015:17:52:29 +0800] "GET /debug/default/toolbar?tag=566a9cdd5d39c HTTP/1.1" 200 19640
127.0.0.1 - - [11/Dec/2015:17:52:53 +0800] "POST /gii/crud HTTP/1.1" 200 20313
127.0.0.1 - - [11/Dec/2015:17:52:54 +0800] "GET /debug/default/toolbar?tag=566a9cf5e2a00 HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:52:57 +0800] "POST /gii/crud HTTP/1.1" 200 13265
127.0.0.1 - - [11/Dec/2015:17:52:57 +0800] "GET /debug/default/toolbar?tag=566a9cf90e82b HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "POST /gii/crud HTTP/1.1" 200 20293
127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "GET /assets/8bb60d5/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "GET /assets/3f8ec639/main.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "GET /assets/d5cab628/toolbar.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "GET /assets/27eb7c0/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "GET /assets/fc1cb3d0/yii.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "GET /assets/fc1cb3d0/yii.validation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "GET /assets/fc1cb3d0/yii.activeForm.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "GET /assets/c86b5152/typeahead.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "GET /assets/3f8ec639/gii.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "GET /assets/3f8ec639/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "GET /assets/8bb60d5/js/bootstrap.js HTTP/1.1" 304 -
